,41,22,20,56,48,117,60
Monday 09:00-11:00,22,0,0,47,0,60,19
11:00-13:00,19,0,0,40,0,90,0
13:00-15:00,0,0,0,0,0,65,0
15:00-17:00,0,0,0,0,0,70,35
Tuesday 09:00-11:00,30,0,0,0,0,69,44
11:00-13:00,30,0,0,40,31,70,50
13:00-15:00,25,0,0,0,0,60,50
15:00-17:00,0,0,0,0,0,95,40
Wednesday 09:00-11:00,40,0,0,53,0,75,50
11:00-13:00,0,0,0,46,45,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Thurday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
Friday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
