Time,A1.08 | 20,A1.06 | 22,A1.04 | 41,B0.201 | 48,A1.10 | 56,C1.112 | 60,C0.110 | 117
Monday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
17:00-19:00,-,-,-,-,-,-,0
Tuesday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
17:00-19:00,-,-,-,-,-,-,0
Wednesday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
17:00-19:00,-,-,-,-,-,-,0
Thurday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
17:00-19:00,-,-,-,-,-,-,0
Friday 09:00-11:00,0,0,0,0,0,0,0
11:00-13:00,0,0,0,0,0,0,0
13:00-15:00,0,0,0,0,0,0,0
15:00-17:00,0,0,0,0,0,0,0
17:00-19:00,-,-,-,-,-,-,0
