,Unnamed: 0,<room.Room object at 0x7f6c665acaf0>,<room.Room object at 0x7f6c6652a040>,<room.Room object at 0x7f6c630dd0a0>,<room.Room object at 0x7f6c50bb2040>,<room.Room object at 0x7f6c50bb20a0>,<room.Room object at 0x7f6c50bb22e0>,<room.Room object at 0x7f6c50bb23a0>
0,Monday 09:00-11:00,Advanced Heuristics,Algoritmen en complexiteit,Analysemethoden en -technieken,Architectuur en computerorganisatie,Autonomous Agents 2,Bioinformatica,Calculus 2
1,11:00-13:00,Collectieve Intelligentie,Compilerbouw,Compilerbouw practicum,Data Mining,Databases 2,Heuristieken 1,Heuristieken 2
2,13:00-15:00,Informatie- en organisatieontwerp,Interactie-ontwerp,Kansrekenen 2,Lineaire Algebra,Machine Learning,Moderne Databases,Netwerken en systeembeveiliging
3,15:00-17:00,Programmeren in Java 2,Project Genetic Algorithms,Project Numerical Recipes,Reflectie op de digitale cultuur,Software engineering,Technology for games,Webprogrammeren en databases
4,Tuesday 09:00-11:00,"Zoeken, sturen en bewegen",0,0,0,0,0,0
5,11:00-13:00,0,0,0,0,0,0,0
6,13:00-15:00,0,0,0,0,0,0,0
7,15:00-17:00,0,0,0,0,0,0,0
8,Wednesday 09:00-11:00,0,0,0,0,0,0,0
9,11:00-13:00,0,0,0,0,0,0,0
10,13:00-15:00,0,0,0,0,0,0,0
11,15:00-17:00,0,0,0,0,0,0,0
12,Thurday 09:00-11:00,0,0,0,0,0,0,0
13,11:00-13:00,0,0,0,0,0,0,0
14,13:00-15:00,0,0,0,0,0,0,0
15,15:00-17:00,0,0,0,0,0,0,0
16,Friday 09:00-11:00,0,0,0,0,0,0,0
17,11:00-13:00,0,0,0,0,0,0,0
18,13:00-15:00,0,0,0,0,0,0,0
19,15:00-17:00,0,0,0,0,0,0,0
